problem,mode,strength,seed,true_energy,internal_energy,seed_check,status
regular_varmix_40,off,1.0,0,-13.353766272271743,-22.253768920898438,"0.9476670026779175, 0.9785798788070679, 0.33229148387908936",ok
regular_varmix_40,off,1.0,1,20.72963521846735,-15.170364379882812,"0.4386324882507324, 0.5337529182434082, 0.44591832160949707",ok
regular_varmix_40,off,1.0,2,-10.361486559024192,-21.861486434936523,"0.6407910585403442, 0.9006019830703735, 0.23003411293029785",ok
regular_varmix_40,off,1.0,3,3.557181770397955,-2.142815113067627,"0.07405257225036621, 0.938144326210022, 0.6489570140838623",ok
regular_varmix_40,off,1.0,4,-6.112078899709831,3.5879223346710205,"0.8805466890335083, 0.7698888778686523, 0.1400362253189087",ok
regular_varmix_40,off,1.0,5,15.317579033799552,-5.982420921325684,"0.46637988090515137, 0.9208810329437256, 0.7358101606369019",ok
regular_varmix_40,off,1.0,6,-14.455132052206082,-8.755132675170898,"0.6504262685775757, 0.28406858444213867, 0.04664802551269531",ok
regular_varmix_40,off,1.0,7,-23.89025566305507,-15.190253257751465,"0.6740899085998535, 0.9746168851852417, 0.3028435707092285",ok
regular_varmix_40,off,1.0,8,12.409473578204055,-4.4905266761779785,"0.290643572807312, 0.08548212051391602, 0.9970648288726807",ok
regular_varmix_40,off,1.0,9,-41.31920655668709,-28.219205856323242,"0.04077804088592529, 0.9675620794296265, 0.41985177993774414",ok
regular_varmix_40,degree,1.0,0,-33.874839138395174,-41.173912048339844,"0.9476670026779175, 0.9785798788070679, 0.33229148387908936",ok
regular_varmix_40,degree,1.0,1,1.0393450211146171,-33.89674377441406,"0.4386324882507324, 0.5337529182434082, 0.44591832160949707",ok
regular_varmix_40,degree,1.0,2,-15.809333725035142,-39.734718322753906,"0.6407910585403442, 0.9006019830703735, 0.23003411293029785",ok
regular_varmix_40,degree,1.0,3,8.385700439796967,-27.928936004638672,"0.07405257225036621, 0.938144326210022, 0.6489570140838623",ok
regular_varmix_40,degree,1.0,4,-6.302451979351092,-25.502540588378906,"0.8805466890335083, 0.7698888778686523, 0.1400362253189087",ok
regular_varmix_40,degree,1.0,5,15.317579033799552,-15.752493858337402,"0.46637988090515137, 0.9208810329437256, 0.7358101606369019",ok
regular_varmix_40,degree,1.0,6,-18.559926656479956,-35.53870391845703,"0.6504262685775757, 0.28406858444213867, 0.04664802551269531",ok
regular_varmix_40,degree,1.0,7,-15.157250187627374,-17.871477127075195,"0.6740899085998535, 0.9746168851852417, 0.3028435707092285",ok
regular_varmix_40,degree,1.0,8,-5.566306478949722,-32.380531311035156,"0.290643572807312, 0.08548212051391602, 0.9970648288726807",ok
regular_varmix_40,degree,1.0,9,-41.31920655668709,-46.77602005004883,"0.04077804088592529, 0.9675620794296265, 0.41985177993774414",ok
regular_varmix_40,degree+variance,1.0,0,-33.874839138395174,-41.173912048339844,"0.9476670026779175, 0.9785798788070679, 0.33229148387908936",ok
regular_varmix_40,degree+variance,1.0,1,1.0393450211146171,-33.89674377441406,"0.4386324882507324, 0.5337529182434082, 0.44591832160949707",ok
regular_varmix_40,degree+variance,1.0,2,-15.809333725035142,-39.734718322753906,"0.6407910585403442, 0.9006019830703735, 0.23003411293029785",ok
regular_varmix_40,degree+variance,1.0,3,8.385700439796967,-27.928936004638672,"0.07405257225036621, 0.938144326210022, 0.6489570140838623",ok
regular_varmix_40,degree+variance,1.0,4,-6.302451979351092,-25.502540588378906,"0.8805466890335083, 0.7698888778686523, 0.1400362253189087",ok
regular_varmix_40,degree+variance,1.0,5,15.317579033799552,-15.752493858337402,"0.46637988090515137, 0.9208810329437256, 0.7358101606369019",ok
regular_varmix_40,degree+variance,1.0,6,-18.559926656479956,-35.53870391845703,"0.6504262685775757, 0.28406858444213867, 0.04664802551269531",ok
regular_varmix_40,degree+variance,1.0,7,-15.157250187627374,-17.871477127075195,"0.6740899085998535, 0.9746168851852417, 0.3028435707092285",ok
regular_varmix_40,degree+variance,1.0,8,-5.566306478949722,-32.380531311035156,"0.290643572807312, 0.08548212051391602, 0.9970648288726807",ok
regular_varmix_40,degree+variance,1.0,9,-41.31920655668709,-46.77602005004883,"0.04077804088592529, 0.9675620794296265, 0.41985177993774414",ok
regular_varmix_40,variance_profiled,1.0,0,-13.353766272271743,-22.09808921813965,"0.9476670026779175, 0.9785798788070679, 0.33229148387908936",ok
regular_varmix_40,variance_profiled,1.0,1,20.72963521846735,-15.062324523925781,"0.4386324882507324, 0.5337529182434082, 0.44591832160949707",ok
regular_varmix_40,variance_profiled,1.0,2,-10.361486559024192,-21.77130699157715,"0.6407910585403442, 0.9006019830703735, 0.23003411293029785",ok
regular_varmix_40,variance_profiled,1.0,3,3.557181770397955,-2.076450824737549,"0.07405257225036621, 0.938144326210022, 0.6489570140838623",ok
regular_varmix_40,variance_profiled,1.0,4,-6.112078899709831,3.6511332988739014,"0.8805466890335083, 0.7698888778686523, 0.1400362253189087",ok
regular_varmix_40,variance_profiled,1.0,5,15.317579033799552,-5.919042110443115,"0.46637988090515137, 0.9208810329437256, 0.7358101606369019",ok
regular_varmix_40,variance_profiled,1.0,6,-14.455132052206082,-8.720015525817871,"0.6504262685775757, 0.28406858444213867, 0.04664802551269531",ok
regular_varmix_40,variance_profiled,1.0,7,-23.89025566305507,-15.000099182128906,"0.6740899085998535, 0.9746168851852417, 0.3028435707092285",ok
regular_varmix_40,variance_profiled,1.0,8,12.409473578204055,-4.6981682777404785,"0.290643572807312, 0.08548212051391602, 0.9970648288726807",ok
regular_varmix_40,variance_profiled,1.0,9,-35.91568787685963,-22.251739501953125,"0.04077804088592529, 0.9675620794296265, 0.41985177993774414",ok
